ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,buy_score,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct
FAST,Fastenal,NASDAQ100,46.3,46.35,-0.098,-10.855,-16.801,12.925,18.871,41.3,38.6,12.07,MILD DIP,9687,5.945,192.0,0.9,215.17,43,30.0,22.5,18.0,15.0
6753.T,シャープ,Nikkei225,620.2,661.34,-6.22,-16.344,-24.296,15.465,23.417,553.3,500.7,12.1,MILD DIP,6511,7.952,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
5703.T,日本軽金属HD,Nikkei225,2919.0,2970.08,-1.72,-12.332,-18.713,13.193,19.574,2603.8,2414.3,12.11,MILD DIP,6511,6.381,274.0,80.0,307.17,43,2666.7,2000.0,1600.0,1333.3
4043.T,トクヤマ,Nikkei225,3963.0,4111.64,-3.615,-14.07,-21.266,14.712,21.908,3533.1,3237.3,12.17,MILD DIP,6252,7.196,303.0,120.0,339.87,40,4000.0,3000.0,2400.0,2000.0
EXC,Exelon,NASDAQ100,49.01,47.03,4.219,-7.14,-10.966,8.162,11.987,43.7,41.9,12.23,NEUTRAL,13302,3.825,342.0,1.68,383.84,47,56.0,42.0,33.6,28.0
4755.T,楽天グループ,Nikkei225,799.5,861.35,-7.18,-17.304,-26.034,17.617,26.347,712.3,637.1,12.24,MILD DIP,6435,8.73,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
4911.T,資生堂,Nikkei225,3070.0,3038.14,1.049,-10.056,-15.218,10.59,15.752,2732.6,2575.8,12.35,NEUTRAL,6511,5.162,195.0,60.0,219.08,43,2000.0,1500.0,1200.0,1000.0
8253.T,クレディセゾン,Nikkei225,4448.0,4535.92,-1.938,-12.723,-19.253,13.396,19.926,3958.8,3662.6,12.36,MILD DIP,6511,6.53,292.0,130.0,328.08,43,4333.3,3250.0,2600.0,2166.7
VRSK,Verisk Analytics,NASDAQ100,202.66,192.72,5.155,-6.51,-10.076,7.752,11.318,180.2,173.3,12.48,NEUTRAL,4106,3.566,95.0,2.0,106.85,44,66.7,50.0,40.0,33.3
6762.T,TDK,Nikkei225,2208.0,2249.72,-1.854,-12.88,-19.507,13.63,20.258,1960.0,1810.9,12.66,MILD DIP,6511,6.628,154.0,34.0,173.49,43,1133.3,850.0,680.0,566.7
ON,ON Semiconductor,NASDAQ100,59.59,65.96,-9.652,-19.814,-29.95,20.73,30.865,52.9,46.2,12.67,MILD DIP,6478,10.136,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
6861.T,キーエンス,Nikkei225,60650.0,59473.6,1.978,-9.527,-14.578,10.675,15.726,53807.5,50803.7,12.72,NEUTRAL,6252,5.051,91.0,550.0,102.57,43,18333.3,13750.0,11000.0,9166.7
6758.T,ソニーG,Nikkei225,3403.0,3449.04,-1.335,-12.471,-18.797,12.833,19.159,3018.9,2800.7,12.72,MILD DIP,6511,6.326,73.0,25.0,82.29,43,833.3,625.0,500.0,416.7
9433.T,KDDI,Nikkei225,2709.5,2673.24,1.356,-10.312,-15.64,11.002,16.331,2397.6,2255.1,13.01,NEUTRAL,6511,5.329,295.0,80.0,333.38,43,2666.7,2000.0,1600.0,1333.3
ROP,Roper Technologies,NASDAQ100,353.87,345.98,2.279,-9.537,-14.7,11.116,16.28,313.0,295.1,13.06,NEUTRAL,8553,5.163,100.0,3.64,113.06,43,121.3,91.0,72.8,60.7
9983.T,ファーストリテイリング,Nikkei225,64250.0,65701.99,-2.21,-13.511,-20.637,14.992,22.118,56824.8,52143.0,13.07,MILD DIP,6511,7.126,84.0,540.0,94.98,40,18000.0,13500.0,10800.0,9000.0
3231.T,野村不動産HD,Nikkei225,1099.5,1101.08,-0.143,-11.733,-17.738,12.287,18.292,971.9,905.8,13.13,MILD DIP,4751,6.005,364.0,40.0,411.79,40,1333.3,1000.0,800.0,666.7
6146.T,ディスコ,Nikkei225,69790.0,71772.4,-2.762,-14.069,-21.524,15.749,23.204,61674.7,56324.4,13.16,MILD DIP,6252,7.455,63.0,437.0,71.29,40,14566.7,10925.0,8740.0,7283.3
4684.T,オービック(注:代替),Nikkei225,4080.0,3974.32,2.659,-9.284,-14.177,10.287,15.179,3605.3,3410.9,13.17,NEUTRAL,6252,4.893,206.0,84.0,233.12,47,2800.0,2100.0,1680.0,1400.0
3099.T,三越伊勢丹HD,Nikkei225,2945.0,2963.46,-0.623,-12.221,-18.488,12.848,19.115,2601.3,2415.6,13.21,MILD DIP,6252,6.267,272.0,80.0,307.94,43,2666.7,2000.0,1600.0,1333.3
META,Meta Platforms,NASDAQ100,654.07,656.01,-0.295,-11.954,-18.525,14.331,20.902,577.6,534.5,13.24,MILD DIP,3447,6.571,32.0,2.1,36.24,40,70.0,52.5,42.0,35.0
8750.T,第一生命HD,Nikkei225,1492.5,1496.72,-0.282,-11.997,-18.313,13.266,19.582,1317.2,1222.6,13.31,MILD DIP,3894,6.316,375.0,56.0,424.92,40,1866.7,1400.0,1120.0,933.3
9301.T,三菱倉庫,Nikkei225,1388.0,1367.24,1.518,-10.439,-15.854,11.224,16.639,1224.5,1150.5,13.35,NEUTRAL,6511,5.416,259.0,36.0,293.58,43,1200.0,900.0,720.0,600.0
CSGP,CoStar Group,NASDAQ100,46.33,48.07,-3.614,-14.971,-22.864,16.598,24.49,40.9,37.1,13.36,MILD DIP,6941,7.892,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
LRCX,Lam Research,NASDAQ100,215.23,228.6,-5.849,-17.029,-26.048,19.046,28.064,189.7,169.1,13.47,MILD DIP,10519,9.019,49.0,1.04,55.6,40,34.7,26.0,20.8,17.3
SNPS,Synopsys,NASDAQ100,432.65,431.09,0.361,-11.588,-17.701,12.867,18.98,381.1,354.8,13.51,NEUTRAL,8545,6.114,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0
3863.T,日本製紙,Nikkei225,1274.0,1230.8,3.51,-8.818,-13.284,9.049,13.515,1122.3,1067.3,13.52,NEUTRAL,3160,4.467,118.0,15.0,133.95,44,500.0,375.0,300.0,250.0
QCOM,Qualcomm,NASDAQ100,135.2,140.14,-3.528,-15.032,-23.02,16.919,24.907,119.1,107.9,13.54,MILD DIP,8595,7.988,258.0,3.56,292.93,40,118.7,89.0,71.2,59.3
2768.T,双日,Nikkei225,6190.0,6387.92,-3.098,-14.72,-22.243,15.373,22.896,5447.6,4967.0,13.63,MILD DIP,6511,7.523,267.0,165.0,303.39,40,5500.0,4125.0,3300.0,2750.0
8252.T,丸井グループ,Nikkei225,3167.0,3132.36,1.106,-11.03,-16.702,11.657,17.328,2786.8,2609.2,13.64,NEUTRAL,6511,5.672,417.0,132.0,473.88,43,4400.0,3300.0,2640.0,2200.0
5713.T,住友金属鉱山,Nikkei225,10075.0,10216.0,-1.38,-13.274,-20.292,14.799,21.817,8859.9,8143.0,13.71,MILD DIP,6511,7.018,182.0,183.0,206.96,40,6100.0,4575.0,3660.0,3050.0
LULU,Lululemon,NASDAQ100,166.43,176.61,-5.763,-17.133,-26.098,18.728,27.693,146.4,130.5,13.72,MILD DIP,4660,8.965,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
6770.T,アルプスアルパイン,Nikkei225,2094.0,2177.76,-3.846,-15.449,-23.321,16.041,23.913,1841.3,1669.9,13.72,MILD DIP,6511,7.872,296.0,62.0,336.62,40,2066.7,1550.0,1240.0,1033.3
AMGN,Amgen,Dow30,375.43,373.13,0.618,-11.519,-17.749,13.402,19.633,330.1,306.9,13.72,NEUTRAL,10742,6.23,267.0,10.08,303.62,43,336.0,252.0,201.6,168.0
UNH,UnitedHealth,Dow30,282.34,282.27,0.025,-12.189,-18.792,14.223,20.826,247.9,229.2,13.91,NEUTRAL,10404,6.603,310.0,8.84,353.12,43,294.7,221.0,176.8,147.3
3003.T,ヒューリック,Nikkei225,1974.0,1980.92,-0.349,-12.598,-19.158,13.639,20.198,1731.4,1601.4,14.01,MILD DIP,6248,6.559,339.0,67.0,386.51,43,2233.3,1675.0,1340.0,1116.7
5019.T,出光興産,Nikkei225,1431.5,1411.58,1.411,-11.092,-16.869,12.017,17.794,1255.0,1173.5,14.06,NEUTRAL,4736,5.777,251.0,36.0,286.3,40,1200.0,900.0,720.0,600.0
1808.T,長谷工,Nikkei225,3121.0,3275.36,-4.713,-16.458,-24.979,17.628,26.149,2736.3,2457.2,14.06,MILD DIP,6252,8.521,288.0,90.0,328.49,40,3000.0,2250.0,1800.0,1500.0
7012.T,川崎重工業,Nikkei225,16320.0,16546.4,-1.368,-13.578,-20.738,15.06,22.219,14299.7,13115.1,14.13,MILD DIP,5248,7.159,112.0,182.0,127.82,40,6066.7,4550.0,3640.0,3033.3
ASML,ASML,NASDAQ100,1383.4,1416.35,-2.326,-14.486,-22.305,16.789,24.607,1211.2,1100.4,14.22,MILD DIP,7774,7.819,65.0,8.79,74.24,40,293.0,219.7,175.8,146.5
AAPL,Apple,Dow30,260.83,266.91,-2.279,-14.498,-22.234,16.446,24.182,228.2,207.6,14.29,MILD DIP,11377,7.736,40.0,1.04,45.72,40,34.7,26.0,20.8,17.3
7762.T,シチズン時計,Nikkei225,1671.0,1645.44,1.553,-11.304,-17.124,11.973,17.792,1459.4,1363.7,14.5,NEUTRAL,6511,5.819,281.0,47.0,321.74,43,1566.7,1175.0,940.0,783.3
2413.T,エムスリー,Nikkei225,1653.0,1677.18,-1.442,-13.919,-21.3,15.604,22.985,1443.7,1319.9,14.5,MILD DIP,5284,7.381,127.0,21.0,145.41,40,700.0,525.0,420.0,350.0
GILD,Gilead,NASDAQ100,148.56,149.24,-0.457,-13.067,-20.066,14.927,21.926,129.7,119.3,14.51,MILD DIP,8569,6.999,224.0,3.28,256.49,43,109.3,82.0,65.6,54.7
8802.T,三菱地所,Nikkei225,4913.0,4807.56,2.193,-10.788,-16.386,11.603,17.201,4288.9,4019.8,14.55,NEUTRAL,6511,5.598,94.0,46.0,107.68,43,1533.3,1150.0,920.0,766.7
6841.T,横河電機,Nikkei225,5453.0,5423.44,0.545,-12.239,-18.608,13.237,19.605,4759.7,4414.2,14.57,NEUTRAL,6511,6.369,143.0,78.0,163.83,43,2600.0,1950.0,1560.0,1300.0
WBD,Warner Bros Discovery,NASDAQ100,27.76,28.09,-1.183,-13.765,-20.874,14.669,21.778,24.2,22.2,14.59,MILD DIP,5176,7.109,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
5711.T,三菱マテリアル,Nikkei225,5165.0,5147.12,0.347,-12.562,-19.001,13.197,19.636,4500.6,4169.1,14.76,NEUTRAL,6511,6.44,194.0,100.0,222.64,43,3333.3,2500.0,2000.0,1666.7
EA,Electronic Arts,NASDAQ100,200.07,200.29,-0.112,-13.076,-20.067,14.891,21.882,174.1,160.1,14.91,MILD DIP,9160,6.992,38.0,0.76,43.67,43,25.3,19.0,15.2,12.7
8830.T,住友不動産,Nikkei225,4948.0,4925.04,0.466,-13.027,-19.925,14.565,21.464,4283.4,3943.7,15.51,NEUTRAL,6511,6.898,87.0,43.0,100.5,43,1433.3,1075.0,860.0,716.7
6981.T,村田製作所,Nikkei225,3672.0,3590.56,2.268,-11.468,-17.365,12.121,18.018,3178.8,2967.0,15.52,NEUTRAL,6249,5.897,163.0,60.0,188.29,43,2000.0,1500.0,1200.0,1000.0
INTC,Intel,NASDAQ100,46.78,46.38,0.855,-12.76,-19.483,14.131,20.854,40.5,37.3,15.61,NEUTRAL,11565,6.723,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0
