ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
CMCSA,Comcast,NASDAQ100,27.93,29.52,-5.392,-10.154,-15.589,11.584,17.019,26.5,24.9,5.3,MILD DIP,11582,5.435,4.8,1.34,5.05,6,32,49.8,44.0,False,False,False,False,False,1.04,False,1.2,-52.5,減益,29.8,True,37.1,7.2,21.4,48.1,False,通信,Telecom Services,RSI30以下,1,44.7,33.5,26.8,22.3,False
4631.T,DIC,Nikkei225,3672.0,3916.4,-6.24,-11.101,-16.766,11.559,17.224,3481.6,3259.8,5.47,MILD DIP,6270,5.665,0.0,0.0,0.0,2,15,4624.0,20.6,False,False,False,False,False,0.74,True,1.1,-0.6,減益,36.0,False,56.1,11.2,7.3,51.7,False,素材,Specialty Chemicals,PBR1倍割れ,1,0.0,0.0,0.0,0.0,False
7912.T,大日本印刷,Nikkei225,2843.5,2958.27,-3.88,-8.884,-13.45,9.377,13.942,2695.4,2560.4,5.49,MILD DIP,6529,4.565,1.41,40.0,1.48,1,10,3272.0,13.1,False,False,False,False,False,1.08,False,5.1,-0.2,減益,44.4,False,69.4,14.5,6.6,82.9,False,資本財,Conglomerates,—,0,1333.3,1000.0,800.0,666.7,False
1803.T,清水建設,Nikkei225,2841.5,3010.15,-5.603,-10.606,-16.195,11.75,17.339,2690.9,2522.7,5.6,MILD DIP,6529,5.589,2.15,61.2,2.27,1,25,3525.0,19.4,False,False,False,False,False,2.14,False,8.5,19.6,増収増益,44.4,False,68.3,34.6,12.0,58.1,True,資本財,Engineering & Construction,優良財務,1,2040.0,1530.0,1224.0,1020.0,False
BRO,Brown & Brown,配当貴族,65.95,68.15,-3.233,-8.385,-12.95,9.873,14.438,62.4,59.3,5.62,MILD DIP,11353,4.565,1.18,0.78,1.25,29,25,123.5,46.6,False,False,True,False,False,1.77,False,36.2,-16.2,減益,41.5,False,4.6,13.3,11.2,61.4,True,金融,Insurance Brokers,優良財務／月足陽転,2,26.0,19.5,15.6,13.0,False
7013.T,IHI,Nikkei225,3301.0,3658.31,-9.767,-14.702,-22.428,16.202,23.928,3120.5,2837.8,5.78,MILD DIP,6529,7.726,0.59,19.6,0.63,1,10,4487.1,26.4,False,False,False,False,False,6.21,False,5.9,-22.4,減益,36.5,False,60.0,5.7,23.6,48.1,False,資本財,Specialty Industrial Machinery,—,0,653.3,490.0,392.0,326.7,False
UPS,United Parcel Service,SP500高配当,98.18,100.72,-2.519,-7.874,-11.932,8.36,12.418,92.8,88.7,5.81,MILD DIP,6614,4.058,6.65,6.53,7.04,16,35,190.2,48.4,False,False,False,False,True,5.14,False,-3.2,4.6,—,53.7,False,40.0,12.3,33.8,36.2,False,資本財,Integrated Freight & Logistics,高配当,1,217.7,163.2,130.6,108.8,False
4661.T,OLC,Nikkei225,2679.5,2742.09,-2.282,-7.691,-11.762,8.592,12.663,2531.2,2419.6,5.86,MILD DIP,6270,4.071,0.55,14.7,0.58,0,22,5630.2,52.4,True,False,False,False,False,4.08,False,2.9,2.7,微増,42.8,False,7.0,30.6,0.0,76.1,False,一般消費財,Leisure,半値,1,490.0,367.5,294.0,245.0,False
MCD,McDonald's,Dow30,307.14,319.58,-3.893,-9.222,-14.185,10.628,15.59,290.1,274.3,5.87,MILD DIP,15012,4.962,2.44,7.49,2.58,48,20,339.2,9.4,False,False,False,False,False,-121.93,False,9.7,8.2,増収増益,24.0,True,40.6,21.4,0.0,0.0,False,一般消費財,Restaurants,RSI30以下,1,249.7,187.2,149.8,124.8,False
O,Realty Income,配当貴族,62.21,63.16,-1.511,-6.985,-10.797,8.264,12.077,58.8,56.3,5.89,MILD DIP,7893,3.812,5.63,3.5,5.97,30,27,67.3,7.5,False,False,False,False,False,1.47,False,11.0,41.2,増収増益,37.4,False,66.7,35.4,2.7,57.6,False,不動産,REIT - Retail,—,0,116.8,87.6,70.1,58.4,False
AOS,A.O. Smith,配当貴族,64.35,68.04,-5.425,-10.724,-16.419,12.054,17.748,60.7,56.9,5.94,MILD DIP,10686,5.695,2.7,1.74,2.86,30,15,88.9,27.7,False,False,False,False,False,4.8,False,0.0,19.1,—,40.9,False,24.0,14.8,29.2,90.1,True,資本財,Specialty Industrial Machinery,優良財務,1,58.0,43.5,34.8,29.0,False
EMR,Emerson Electric,配当貴族,131.7,134.99,-2.44,-7.941,-12.16,8.934,13.153,124.3,118.6,5.98,MILD DIP,13548,4.219,2.05,2.69,2.17,66,12,161.1,18.2,False,False,False,False,False,3.65,False,4.1,4.9,微増,49.0,False,55.5,18.4,9.6,59.1,False,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
5332.T,TOTO,Nikkei225,5270.0,5569.03,-5.369,-10.72,-16.293,11.571,17.143,4972.0,4661.7,5.99,MILD DIP,6529,5.573,1.9,100.1,2.01,0,10,6471.8,18.6,False,False,False,False,False,1.72,False,0.0,0.0,—,40.0,False,61.6,21.6,0.5,95.4,False,資本財,Building Products & Equipment,—,0,3336.7,2502.5,2002.0,1668.3,False
CHRW,C.H. Robinson,配当貴族,167.84,173.9,-3.488,-9.02,-13.883,10.432,15.295,158.2,149.8,6.08,MILD DIP,7135,4.863,1.86,3.12,1.97,14,20,199.9,16.0,False,False,True,False,False,10.77,False,-6.5,-8.5,減収減益,47.7,False,70.1,23.5,32.9,56.9,True,資本財,Integrated Freight & Logistics,優良財務／月足陽転,2,104.0,78.0,62.4,52.0,False
PPG,PPG Industries,配当貴族,103.24,106.53,-3.086,-8.699,-13.347,9.89,14.537,97.3,92.3,6.15,MILD DIP,11582,4.647,3.38,3.49,3.59,52,25,165.4,37.6,False,False,False,False,False,2.9,False,5.0,0.0,—,52.4,False,30.1,11.9,21.1,50.6,True,素材,Specialty Chemicals,優良財務,1,116.3,87.2,69.8,58.2,False
7203.T,トヨタ自動車,Nikkei225,3247.0,3359.09,-3.337,-8.986,-13.698,9.862,14.574,3057.2,2899.0,6.21,MILD DIP,6702,4.712,2.95,95.8,3.13,6,15,3886.1,16.4,False,False,False,False,False,1.09,False,8.6,-42.3,減益,47.3,False,57.5,10.0,10.0,48.7,False,一般消費財,Auto Manufacturers,—,0,3193.3,2395.0,1916.0,1596.7,False
6326.T,クボタ,Nikkei225,2509.5,2654.4,-5.459,-11.029,-16.797,12.047,17.816,2361.7,2208.5,6.26,MILD DIP,6529,5.769,2.17,54.4,2.3,0,20,3242.0,22.6,False,False,False,False,False,1.09,False,10.3,41.0,増収増益,45.4,False,58.0,12.8,7.7,55.3,False,資本財,Farm & Heavy Construction Machinery,—,0,1813.3,1360.0,1088.0,906.7,False
DOV,Dover,配当貴族,205.38,211.8,-3.03,-8.814,-13.545,10.111,14.842,193.1,183.1,6.34,MILD DIP,11582,4.731,1.26,2.59,1.34,68,15,232.8,11.8,False,False,False,False,False,3.74,False,8.8,-80.1,減益,51.7,False,66.0,17.8,15.3,67.4,True,資本財,Specialty Industrial Machinery,優良財務,1,86.3,64.8,51.8,43.2,False
3407.T,旭化成,Nikkei225,1538.5,1601.76,-3.949,-9.688,-14.709,10.396,15.417,1446.6,1366.2,6.35,MILD DIP,6529,5.021,2.63,40.4,2.79,1,17,1860.5,17.3,False,False,False,False,False,1.04,False,0.8,44.7,微増,46.4,False,65.3,15.3,0.0,64.6,False,資本財,Conglomerates,—,0,1346.7,1010.0,808.0,673.3,False
6841.T,横河電機,Nikkei225,4929.0,5280.06,-6.649,-12.265,-18.639,13.231,19.605,4632.4,4295.9,6.4,MILD DIP,6529,6.374,1.47,72.7,1.57,2,20,6188.3,20.3,False,False,False,False,False,2.48,False,7.0,11.8,増収増益,38.1,False,64.1,22.8,12.2,95.5,True,資本財,Specialty Industrial Machinery,優良財務,1,2423.3,1817.5,1454.0,1211.7,False
